,maaslin2,metagenomeSeq,ttest,wilcoxon,lefse,ancombc
t__SGB63327,0.00161039287360735,0.00116651266930672,0.006499529705007636,0.00029338766931373593,,0.00074449830756534
t__SGB29302,0.00190654221447779,0.0139895221530973,0.03536571414676643,0.003521135590171539,,2.93571497990674e-05
t__SGB2318,0.00236767537164284,0.262830630210528,0.015852390870708163,0.04633489712794349,0.0462820275990536,0.278842530650414
t__SGB15368,0.00236767537164284,0.191122709676251,0.006973211458589921,0.0032907022471140818,0.00328782478362343,0.00177531093180209
t__SGB15342,0.00268097137706379,4.62964859978977e-06,0.008369597335997547,9.614740630433267e-06,9.61791412979521e-06,1.00993240447602e-07
t__SGB14960,0.0030064504028281,7.96306479491164e-05,0.012102748684680769,0.0007724770623393901,,2.07082339868092e-21
t__SGB4630,0.00304464268144522,0.0130719260567486,0.04281360329539216,0.06115735848456162,,1.16226788763263e-13
t__SGB1877,0.00314867494545629,0.000560223150433709,0.04281360329539216,6.060309695615877e-06,6.04589224861089e-06,0.0266101906242426
t__SGB4874,0.00354160555703542,0.000712818960465967,0.007609866964534966,0.0003508261119644541,0.000350727944980263,6.29075203257293e-05
t__SGB15028,0.00354160555703542,0.0014284700792148,0.025035813069350526,0.532008552967711,0.530999246617307,2.60278196439729e-22
t__SGB1861,0.00354160555703542,1.7970050612027e-05,0.054225480357290086,2.242692069338128e-07,2.24185588316019e-07,0.000241066618841416
t__SGB6653,0.00354160555703542,0.0,0.07920740448944315,3.2404460028104836e-54,3.24472955274457e-54,1.43502853366523e-63
t__SGB14932,0.00354160555703542,0.000193677535697064,0.014283652208510042,0.0035877262614148965,,3.3459765811212e-10
t__SGB15216,0.00398351304377204,0.0667182999527083,0.036070856633741946,0.3026994674402786,0.302455696663376,0.0589514549922731
t__SGB15051,0.00446261471193033,0.0516729051510208,0.012937795579793283,0.001625626235336238,,2.57945661072555e-08
t__SGB15390,0.00512810996630036,2.61238613840967e-05,0.0756772090123224,0.001982334186941206,0.00198103593995488,3.35188065081301e-21
t__SGB4191,0.00534958391787653,0.0516628472747332,0.02754467926941462,0.03296967212616143,0.0329400317798574,1.3324002236186e-13
t__SGB4721,0.00538708540456802,0.0186643192030842,0.05467341099780055,0.0021368145671782995,0.00213504669419536,0.00214415614715962
t__SGB3962,0.00601693946392178,0.0471007022330392,0.062249038098017705,0.029647006069277292,,5.10028420815748e-05
t__SGB2325,0.00606275593086649,6.17951166353727e-07,0.0467784378467037,3.1869463706081284e-06,3.17716032680913e-06,5.03139985345641e-07
t__SGB14127,0.00674447642490036,4.8589957098104e-05,0.04146934568054155,0.0009653247380670192,,8.38396265140769e-06
t__SGB5090,0.00681142975375765,0.191122709676251,0.011958985533323791,0.0015462204408850599,0.00154382192632697,0.0771871065226669
t__SGB14963,0.00681142975375765,4.56039100061925e-07,0.059007002585262654,3.414543804534102e-06,3.41062113912183e-06,3.87913417113871e-12
t__SGB14142,0.00681142975375765,0.00343169460595792,0.0551318179523348,0.011497102953457697,,1.17543769774927e-07
t__SGB4758,0.00726867613277093,0.00712833413150888,0.060711198599773336,2.5374856535382407e-05,2.53628111382955e-05,0.000412472963647482
t__SGB15204,0.00998304311081364,0.00402195641558947,0.04281360329539216,1.243160941790628e-05,1.24239618221661e-05,1.3920987311345e-14
t__SGB15045,0.00998304311081364,0.0468241146456009,0.11060747249453184,0.004796423464129708,,1.46298316258916e-06
t__SGB66170,0.00998304311081364,0.00372060866493615,0.03897651288545691,0.0020103631507730783,,7.23930467757339e-08
t__SGB14972,0.0107638966180723,0.00399757044785077,0.04281360329539216,0.048266903110992354,,5.03662570988521e-24
t__SGB7295,0.0107638966180723,0.0,0.036070856633741946,2.2503712699327217e-42,2.26366797565333e-42,7.47231832771716e-53
t__SGB4303,0.01140027217698,0.0175032210992866,0.019953860087880075,0.5267914977291469,0.526725827338117,9.60768929066645e-18
t__SGB15049,0.01140027217698,0.0553029356724228,0.06265706493027377,0.0023160771700235553,,0.000150107437754546
t__SGB748,0.01140027217698,2.67430522171708e-13,0.05167607308279839,6.554746863703364e-50,6.56362529606821e-50,1.0995917952354e-52
t__SGB14143,0.0120437155670015,0.0141110860957003,0.07237941709839002,0.008135832988244253,,1.30548223809473e-06
t__SGB3574,0.0151761439575102,0.00144377792152223,0.13405037033391234,0.07322716560792751,,0.000491323940477005
t__SGB5089,0.0152641365685163,0.000209940164967776,0.041850126131455494,6.792515496517447e-06,6.79461361195091e-06,5.5974740697722e-08
t__SGB15286,0.0152641365685163,0.0392233261148637,0.05167607308279839,0.08027840838320568,0.0802499442108499,7.05771337443936e-05
t__SGB1626,0.0152641365685163,0.531143818204606,0.07623786666752888,0.329146887814392,0.329056338063113,0.000208391897488092
t__SGB14838,0.0152641365685163,0.0752960311899675,0.0649429940513413,0.0002481883429532201,,0.215679546922121
t__SGB1934,0.0164210921088062,4.34089098041972e-05,0.1519866057431223,1.5328830293415715e-06,1.53234336028503e-06,0.0014352928312363
t__SGB6014,0.0175239724941622,5.06012430838883e-06,0.13629013083481545,4.399733249825431e-21,,5.71027095214714e-14
