taxon,W,pval,qval,sig
t__SGB10068,-3.32986420925266,0.000896472111849025,0.0018115561014527,TRUE
t__SGB8002,1.2403269097593,0.215407482809412,0.263727400336891,FALSE
t__SGB1830,0.93101607315375,0.352084037867,0.409595773136112,FALSE
t__SGB15356,-0.730570713533423,0.465521917906712,0.523824277567475,FALSE
t__SGB15316,5.08577865138447,4.20808651949342e-07,1.57533495345138e-06,TRUE
t__SGB5090,1.9235374839553,0.0546759388338889,0.0771871065226669,FALSE
t__SGB4820,1.54074168800073,0.123624536755432,0.158326161107834,FALSE
t__SGB14909,-5.72384213020274,2.40850018646059e-08,1.17543769774927e-07,TRUE
t__SGB15286,4.22394260318686,2.61038713849127e-05,7.05771337443936e-05,TRUE
t__SGB6790,1.94573652088201,0.0534171599653487,0.0759017552792303,FALSE
t__SGB4269,5.16485549616762,2.8348566489445e-07,1.11861911012405e-06,TRUE
t__SGB15106,5.08822774161272,5.57035567520233e-07,2.0205513753529e-06,TRUE
t__SGB1962,0.936234654263451,0.349934061935753,0.407907170000958,FALSE
t__SGB4706,2.94452753502212,0.00333461295179512,0.00606671016775188,TRUE
t__SGB4828,7.07022561229351,7.521421042173e-12,6.97223791845878e-11,TRUE
t__SGB1857,-4.17135894610446,3.72536946652083e-05,9.71257039485788e-05,TRUE
t__SGB4874,4.24912020256399,2.30517283385378e-05,6.29075203257293e-05,TRUE
t__SGB4532,2.88989821206674,0.00394613775607617,0.00702605015106245,TRUE
t__SGB9340,5.40734384076316,2.48967105313175e-07,9.95868421252699e-07,TRUE
t__SGB4705,2.56442843735669,0.0104676346252271,0.0171716253402602,TRUE
t__SGB58520,-0.23651415253919,0.813307211910491,0.836422363815699,FALSE
t__SGB5082,4.84165020906825,1.4802507681741e-06,5.05535934861797e-06,TRUE
t__SGB4914,4.58138878122118,5.10132156440742e-06,1.58466584766699e-05,TRUE
t__SGB5042,-3.1546991544136,0.00175677398464217,0.00334187624440075,TRUE
t__SGB4651,5.59147973738243,5.7066459097109e-08,2.6036571963056e-07,TRUE
t__SGB8007_group,2.54856643095176,0.0109398484284417,0.0178460097268435,TRUE
t__SGB4771,1.16694554814749,0.244002613497476,0.294416376616789,FALSE
t__SGB9663_group,2.66992300985404,0.00775941094373241,0.0129102449890021,TRUE
t__SGB4540_group,4.37149758597245,1.34268119312528e-05,3.80643600381147e-05,TRUE
t__SGB1832,5.266291208771,2.57411573073852e-07,1.02264189574918e-06,TRUE
t__SGB5180,-0.98292531092697,0.326293500268783,0.383411275969757,FALSE
t__SGB4936,2.46407289330398,0.0138983227440072,0.0222984079189566,TRUE
t__SGB4811,1.08541110108302,0.277966501203684,0.332648435866703,FALSE
t__SGB4815,0.0170088886907681,0.986434296343946,0.986434296343946,FALSE
t__SGB4721,-3.28564978691836,0.00107207807357981,0.00214415614715962,TRUE
t__SGB9262,0.429899613955768,0.667416844383107,0.719135492840839,FALSE
t__SGB47850,5.18908906740498,4.58027236865451e-07,1.6929614324647e-06,TRUE
t__SGB15332,3.16325685532795,0.0016127043820938,0.00313939786380927,TRUE
t__SGB15244,-3.16903264296419,0.00166385601346642,0.00321752288696818,TRUE
t__SGB4714,1.95279829869428,0.0512638815291568,0.0735580019976108,FALSE
t__SGB4749,1.91719742783976,0.0554989672945845,0.078099751566355,FALSE
t__SGB4767,3.60277601133807,0.000330890276976587,0.000726465871256868,TRUE
t__SGB15091,-5.01961027626001,7.24464088491997e-07,2.53345525556483e-06,TRUE
t__SGB14861,1.39897701778293,0.162241712606507,0.20288899392334,FALSE
t__SGB4868,3.34588066372095,0.000865253765327752,0.0017730112243909,TRUE
t__SGB14177,-5.90659401359487,1.14551758787833e-08,6.25217076000885e-08,TRUE
t__SGB3952,0.855182027289816,0.393411286464706,0.453160140622068,FALSE
t__SGB4809,5.11417167509219,5.96754150235575e-07,2.15126187492331e-06,TRUE
t__SGB4957,12.2242947310821,6.04695884670895e-29,3.53142396647803e-27,TRUE
t__SGB4644,4.83679350863705,1.69011046784059e-06,5.70534400704568e-06,TRUE
t__SGB4778,3.83023095390149,0.000140175072932187,0.00033142608337003,TRUE
t__SGB15053,0.766100411706858,0.443825803596687,0.502314475388498,FALSE
t__SGB1963,-1.00602316044077,0.315014129741821,0.370903733405692,FALSE
t__SGB4670,2.30721529442949,0.0212765417420271,0.0327849614177937,TRUE
t__SGB14991,6.34184463639744,5.25701731797444e-10,3.61188013376126e-09,TRUE
t__SGB4571,0.172365932413984,0.863224846601723,0.879796353255508,FALSE
t__SGB3964,-5.82432580406931,1.12941634593965e-08,6.22244477385621e-08,TRUE
t__SGB4669,-4.54611087654211,7.36159971515998e-06,2.2391532466945e-05,TRUE
t__SGB15346,4.49365077897442,7.80756449991422e-06,2.36249620101031e-05,TRUE
t__SGB4831,-2.72324426321474,0.00667514942129708,0.0112667261908598,TRUE
t__SGB4425_group,3.79065123672328,0.000180341790346704,0.000416283025938638,TRUE
t__SGB4659,3.64523733359362,0.000317062837730641,0.000706256408048761,TRUE
t__SGB4582,2.84206248283391,0.00457584324846193,0.00804907366596917,TRUE
t__SGB4547,5.9388714248043,9.35489706243598e-09,5.25313450429097e-08,TRUE
t__SGB4395,2.03767865799588,0.043141350447192,0.0629863716529004,FALSE
t__SGB4959,1.66372487111675,0.0965879663946345,0.127330411680511,FALSE
t__SGB6178,1.57417089764462,0.116654685020616,0.150721982416017,FALSE
t__SGB2295,-1.61246926619854,0.107169504062814,0.140015638417636,FALSE
t__SGB15318,2.74999641599883,0.0060622551773608,0.0103217405935239,TRUE
t__SGB15267,3.9908167871489,8.62088902290796e-05,0.000211537781066313,TRUE
t__SGB15385,-7.0573253852171,3.08997686961614e-11,2.57792355979404e-10,TRUE
t__SGB3574,-3.71967503353476,0.000216216186134573,0.000491323940477005,TRUE
t__SGB4711,5.70574900456863,1.64278054490914e-08,8.49012246218528e-08,TRUE
t__SGB4826,2.81373698484648,0.00499084601673584,0.00864882514472917,TRUE
t__SGB15233,0.561809145309421,0.574657313856117,0.629643285726026,FALSE
t__SGB14906,-5.65913807119852,3.74888153470662e-08,1.75147745301493e-07,TRUE
t__SGB4716,3.4991371326765,0.000485787349694628,0.00102418704773164,TRUE
t__SGB4063,0.188171217277638,0.8508920915381,0.868742974577361,FALSE
t__SGB17241,5.9521889221678,1.27230384194667e-08,6.87986521941534e-08,TRUE
t__SGB4804,-2.78456340455301,0.0056324871154015,0.00970566384101625,TRUE
t__SGB14993,4.39849289674721,1.18082439688927e-05,3.41386855338284e-05,TRUE
t__SGB2303,-2.37978380842477,0.0175045659079386,0.027333332861594,TRUE
t__SGB15224,-1.1758562847461,0.240651116347097,0.290973606514917,FALSE
t__SGB4768,3.30193003402391,0.00100843332832866,0.00202379746991044,TRUE
t__SGB9260,-1.0837154160841,0.279388080293802,0.333665928203641,FALSE
t__SGB15236,1.35420986682161,0.176361349258744,0.218209805015056,FALSE
t__SGB6847,8.406347388531,2.19829030270147e-15,3.05667032566109e-14,TRUE
t__SGB15317,5.75491761993563,1.43600400014876e-08,7.55519221699889e-08,TRUE
t__SGB15291,4.79477541889389,1.95417909262692e-06,6.44768694968431e-06,TRUE
t__SGB15350,-0.349283715001511,0.726971204251753,0.766337875962137,FALSE
t__SGB15467,-2.73317889153741,0.00672061165581208,0.0113107700489748,TRUE
t__SGB4829,8.69924117734384,6.86666002912395e-16,1.03970774931257e-14,TRUE
t__SGB15254,4.77379888194123,2.10988968717133e-06,6.88366244306178e-06,TRUE
t__SGB4769,5.05316739149728,6.26627516486957e-07,2.21788163411141e-06,TRUE
t__SGB3957,2.24714788995738,0.0249413095734191,0.0380306130310098,TRUE
t__SGB15249,-1.69665834313111,0.0902807980680176,0.119827241072096,FALSE
t__SGB4963,2.75297789865124,0.00653603083033575,0.011063889869322,TRUE
t__SGB10115,3.91085717560898,0.000107033386061026,0.000257232499833907,TRUE
t__SGB15028,-11.1849641775936,7.57659133471815e-24,2.60278196439729e-22,TRUE
t__SGB7985,-2.2020135930314,0.0288554019875777,0.0435440691492128,TRUE
t__SGB15256,-3.29347310571344,0.00114925689783783,0.00229066903869383,TRUE
t__SGB4938,-4.39550684622171,1.32086173150083e-05,3.76284512778773e-05,TRUE
t__SGB80143,-3.54667316136909,0.00046666727036162,0.000991031585058858,TRUE
t__SGB15031,-1.56079864801606,0.119300134201684,0.153799731509456,FALSE
t__SGB4910,0.506179902266708,0.612846338299748,0.667728099938531,FALSE
t__SGB4552,1.38843857111725,0.165371606619934,0.206361150141114,FALSE
t__SGB15452,-5.15124351568771,3.03934560406148e-07,1.19126029045094e-06,TRUE
t__SGB15180,-0.668322805144719,0.50483396482117,0.565535854969151,FALSE
t__SGB6148,4.09239490792266,4.77652765715248e-05,0.000122885116818372,TRUE
t__SGB4342,6.16279814331532,5.02303176910427e-09,2.93345055315689e-08,TRUE
t__SGB14969,6.77379680498351,5.22266913925933e-11,4.01320891753612e-10,TRUE
t__SGB4909,2.20755652441034,0.0281948956542105,0.042768361200153,TRUE
t__SGB15115,10.3346964447362,1.66801212752181e-20,4.23530035857712e-19,TRUE
t__SGB4751,1.75521811869945,0.0800586135482414,0.108080178755718,FALSE
t__SGB4780,3.14980112803147,0.00169645637210686,0.00325898197799475,TRUE
t__SGB72916,-6.98808541186192,3.2144170198874e-11,2.60724936057534e-10,TRUE
t__SGB17248,2.45450544019283,0.0142608052789263,0.0227549461281229,TRUE
t__SGB14912,-4.4802381030144,9.90728159234353e-06,2.93571497990674e-05,TRUE
t__SGB15216,-2.05578257223871,0.0400748760820761,0.0589514549922731,FALSE
t__SGB9283,7.12448176634071,4.63519392187831e-12,4.36605362964021e-11,TRUE
t__SGB4777,-0.745815604079221,0.456187266578671,0.514311512899506,FALSE
t__SGB4712,4.09926661345802,4.84048328118238e-05,0.000123984308605724,TRUE
t__SGB4893,-2.48315751440025,0.0134783192370267,0.0216841279185224,TRUE
t__SGB4772,4.18105183905612,3.62587997385421e-05,9.49557804812044e-05,TRUE
t__SGB14834,3.8654656431531,0.000165078498908569,0.000385267092710747,TRUE
t__SGB15093,0.679200911217659,0.497556046648437,0.558793713928245,FALSE
t__SGB14250,-5.17690793398746,4.84192158247821e-07,1.77841648060835e-06,TRUE
t__SGB4770,0.406843273067698,0.684291801743678,0.733379877358201,FALSE
t__SGB4750,1.78106640199871,0.0751959504498863,0.102844110217175,FALSE
t__SGB15411,-0.242079679931869,0.809000267181699,0.8355035004141,FALSE
t__SGB4779,2.54620922352188,0.0113253942445559,0.0184234825593891,TRUE
t__SGB15229,5.31860172870205,1.61764926966743e-07,6.70005087578566e-07,TRUE
t__SGB4808,-2.80508527650421,0.00571124440975178,0.00978113412109982,TRUE
t__SGB4951,5.8109343190898,8.97126678095727e-09,5.08662116512529e-08,TRUE
t__SGB15041,-1.21181502344917,0.226998789661965,0.275607678092698,FALSE
t__SGB15374,2.1741527943512,0.0302473972068283,0.0451776981298919,TRUE
t__SGB4782,-1.7371028467045,0.083158528465059,0.11113176344072,FALSE
t__SGB4816,0.823472241442034,0.410561847001148,0.468297106735685,FALSE
t__SGB3813,-5.66381421034599,2.92561507156079e-08,1.40045836212418e-07,TRUE
t__SGB47656,5.52165732890005,1.14481257671159e-07,4.94682101109705e-07,TRUE
t__SGB1785,-0.508684616856138,0.611324931198767,0.667315438916037,FALSE
t__SGB8056,-3.65575993146116,0.000318057252254836,0.000706256408048761,TRUE
t__SGB15413,0.236190410100535,0.813506682615269,0.836422363815699,FALSE
