	x
t__SGB15342	1.75626281857798e-07
t__SGB6376	0.597603429936355
t__SGB14253	0.407823736942291
t__SGB3989	0.229595517888801
t__SGB5062	0.00100824900874544
t__SGB4813	0.99377845739252
t__SGB4837	6.23577624796095e-05
t__SGB6141	0.742648140073092
t__SGB15377	1
t__SGB1784	7.74373252918556e-08
t__SGB14193	0.129627259652425
t__SGB10068	1.16847142042734e-08
t__SGB8002	0.0186328760612148
t__SGB1830	0.000346450830863972
t__SGB15356	0.946419277747749
t__SGB15316	5.17700892341061e-08
t__SGB5090	6.77851538348814e-05
t__SGB4820	0.00292880446599351
t__SGB14909	0.022050060785613
t__SGB15286	0.0104780519742942
t__SGB6790	0.135844260926563
t__SGB4269	6.2820338861175e-14
t__SGB15106	0.477327212970209
t__SGB1962	0.0209231377972581
t__SGB14243	0.788590585577899
t__SGB4706	0.428411572926247
t__SGB6609	0.332665398884976
t__SGB4828	0.817768388264781
t__SGB1857	2.97640651220427e-06
t__SGB6369	0.0298730288689056
t__SGB4874	1.16514816328281e-05
t__SGB4532	0.0507766505093285
t__SGB9340	0.633971442540681
t__SGB4705	0.442840785270048
t__SGB58520	0.775712420847176
t__SGB5082	0.00378007218863965
t__SGB4914	6.24907859675538e-06
t__SGB5042	0.993910074427393
t__SGB4637	0.354103108450003
t__SGB4651	5.98344342083079e-07
t__SGB8007_group	2.62293207909165e-06
t__SGB4771	0.0947936586226768
t__SGB9663_group	7.39414542513182e-05
t__SGB3940	0.0812491652972633
t__SGB4540_group	2.0026285664788e-05
t__SGB15196	0.49657149462529
t__SGB1832	0.0209795448801704
t__SGB5180	0.124234640481507
t__SGB4936	0.0481323727556848
t__SGB4811	0.0830172101119177
t__SGB4815	0.200201098622353
t__SGB4721	0.000101482724379441
t__SGB9262	0.889621655635544
t__SGB47850	0.478841256722582
t__SGB15332	0.103609778794951
t__SGB15244	0.221418583773266
t__SGB6529	0.072539311738518
t__SGB4714	0.0437415587411934
t__SGB14124	0.118540412754909
t__SGB4749	0.08432923036531
t__SGB4767	0.0280433676828543
t__SGB15091	0.00123438349946708
t__SGB14861	0.303710435668807
t__SGB4868	0.31224867242223
t__SGB14177	0.00236290938850377
t__SGB3952	0.919410745924365
t__SGB4809	0.0925645761817274
t__SGB4957	0.00431511086934892
t__SGB4644	0.416232987162588
t__SGB1913	0.260559956460673
t__SGB4778	0.610232198634055
t__SGB15053	0.148809505748653
t__SGB1963	0.835793042499061
t__SGB6442	0.972558847806149
t__SGB4670	0.0702483384556484
t__SGB14991	0.0115005322726284
t__SGB4571	0.513493392209572
t__SGB3964	0.480530715233586
t__SGB4669	0.326937706315756
t__SGB15346	8.93997235334879e-08
t__SGB4831	0.514119429007365
t__SGB4425_group	1.43346146508984e-05
t__SGB4659	9.55459708256071e-06
t__SGB4582	0.472031872523591
t__SGB4547	0.700488741223584
t__SGB5065	0.270544905691539
