	+samples in group 0	+samples in group 1	counts in group 0	counts in group 1	oddsRatio	lower	upper	fisherP	fisherAdjP	logFC	se	pvalues	adjPvalues
t__SGB5790	11	8	0.0099251997088342	0.0420017137034334	1.69248424617644	0.616008392379811	4.87737054855543	0.353614603119432	0.772665870821923	2.61639183598385	1.09817985779478	0.0171964538020033	0.171452060919973
t__SGB5856	2	7	0.000294699970390009	0.037128802212954	0.347721803773147	0.0351241611155558	1.83429153052472	0.198133022185102	0.559016745578764	2.61485687711248	1.86518950789576	0.160937471823493	0.562813853264272
t__SGB6288	4	2	0.0318506946601074	0.00263800079854021	2.45337497759105	0.350389568291711	27.2057817694386	0.417821112262213	0.815057116278193	-2.60764700611375	2.07986374779131	0.209929770705142	0.591654493762811
t__SGB1531	37	20	0.188615028551785	0.0035629019384724	2.33537585706788	1.30590188025285	4.29124855884073	0.0025750803542458	0.032172476956988	-2.60191536960424	0.757013767780714	0.000588026231189476	0.016243550294601
t__SGB15133	3	3	0.000284000088200005	9.20000122000129e-06	1.22388765344066	0.163382809204681	9.17026942216817	1	1	-2.59245757618168	1.64780072442496	0.115653204318425	0.503118822628712
t__SGB1819	2	3	0.000643400067410001	0.010561703198491	0.814926276209714	0.0678500741539778	7.13584259346253	1	1	2.58990720848331	1.83311363893141	0.157701019779708	0.558632671243177
t__SGB86230	4	9	1.94000001300015e-05	0.000897600339900113	0.541047436135382	0.121201642969809	1.94913501140713	0.404665359885908	0.815057116278193	2.58488678021301	1.20859234733627	0.0324552572624415	0.259901009620243
t__SGB13990	5	3	0.0046781991452509	0.000528999992890016	2.04529346412012	0.396276568874481	13.2185540007905	0.479264074320625	0.836558914654726	-2.57397867050202	1.38947028130035	0.0639556089855293	0.383186361830165
t__SGB9434_group	52	7	0.0363455979051814	0.00216479996115002	9.75531179599454	4.37349846289088	25.6516920754627	2.39477626112851e-12	4.00592851236553e-10	-2.56890709881881	0.831187615391941	0.0019972124923715	0.0375850425908162
t__SGB26761	7	5	0.0571685830060352	0.000124399991200002	1.71916296724733	0.467263886947306	6.90243725806699	0.393197912109037	0.814827754933714	-2.56866990819237	1.42810927757767	0.0720739346606984	0.397986816187487
t__SGB4146	7	8	0.0166026053077041	0.00258059906762022	1.07084991808604	0.328719673421011	3.39906590226601	1	1	-2.55879331660346	1.02441651872293	0.0124964702157144	0.14092461355624
t__SGB40236	2	5	0.0025324989989404	0.0239090002997858	0.487914797173597	0.0463223621714367	2.99168099593106	0.468445363369847	0.831166169184802	2.55483805517042	1.63503136318948	0.118155626483944	0.508260079294645
t__SGB14784	42	9	0.0209742006837056	0.000555599857690042	6.01586380514012	2.85949016154172	14.1663464224714	3.17347592733929e-08	2.7300960049196e-06	-2.55301832671547	0.853767907766196	0.00278707687158608	0.0479536483448325
t__SGB6671	9	4	0.00662960318641232	0.000102900000160008	2.77395209925215	0.769976481177778	12.3861251515651	0.0952935250724794	0.378097149225826	-2.51227219469131	1.29683008011324	0.0527159100641739	0.340032442377119
t__SGB7196	5	6	0.174452350197696	0.174915465229817	1.01934782305758	0.244942804227913	4.02858875145716	1	1	-2.50818924875177	1.84076855026214	0.173015799945629	0.58141805093336
t__SGB7168	5	9	0.00605929940044201	0.00122400052832029	0.677231063713622	0.177427344476745	2.26297213443298	0.594238380162629	0.900026037560199	-2.50594449256332	1.21628332893141	0.0393670461202436	0.285624520163984
t__SGB4861	2	10	0.00025260010289	0.0191572014223804	0.242536019258982	0.0257485445336051	1.14379349163316	0.0765474784305887	0.340449715737818	2.49932583826339	1.55274978544906	0.107482424983345	0.484475421594091
t__SGB1835	14	8	0.305972284615028	0.0442637009702127	2.16365539176076	0.841045259233237	5.99104902582002	0.0864024834840248	0.366477189318887	-2.49337740512497	1.02706273233265	0.0151958359662143	0.156159256294441
t__SGB4078	14	13	0.0222865006964419	0.00154399996288007	1.32366157919041	0.572609063383805	3.08183681120514	0.559215735607773	0.887964495805251	-2.49331940508449	0.78585964103344	0.001510135894915	0.0317973369202032
t__SGB5115	4	22	0.0083389992468705	0.445046695915125	0.217872627738504	0.0543373731183862	0.645941177264728	0.00223968439185469	0.0288503078000927	2.49069278322214	1.45877581677449	0.0877504101756763	0.43746027814417
t__SGB6256	3	2	0.000591700029200013	0.000151000087350001	1.83756592004245	0.209863328500279	22.0567870057468	0.662504992615776	0.941388642173714	-2.4864235888347	1.83351671318925	0.175068814857491	0.583756590848179
t__SGB19431	32	5	0.00445949967502037	0.000316200155460022	8.1609702733228	3.13183108002084	26.9880682925426	2.32360081896598e-07	1.66580049188251e-05	-2.48624580912553	1.00786037100893	0.0136305384756219	0.145537416135098
t__SGB6011	105	15	0.0205547010188916	0.00784429813077075	9.95683562901874	5.69540164810799	18.6232704953218	8.37005813356104e-24	3.15028063001904e-21	-2.47037888394763	0.538528522864841	4.49067173269313e-06	0.000321938394931881
t__SGB6449	4	6	0.000864700030980206	0.0214449035691114	0.814368809478079	0.168317753712453	3.45036168356586	1	1	2.46479991628196	1.42685287300774	0.0840890255869098	0.431674772184447
t__SGB6382	10	4	0.0200931948293118	0.0020996007484702	3.08665726849136	0.885245857261862	13.5424959530522	0.0584286608339892	0.289356410807799	-2.46405374719615	1.31325691005694	0.0606151622612452	0.37188029553744
t__SGB7122	3	6	0.000149200026250007	0.0248924972310903	0.609970525455724	0.0983176374644033	2.86889901518435	0.52613584990253	0.859619543007098	2.45257563588939	1.60904910249459	0.127448981554812	0.516605626750103
t__SGB74335	13	2	0.00144189960516017	7.75999897300026e-05	8.07813300236197	1.81903338213653	73.8627333629998	0.00116938593089882	0.0176051051896818	-2.44860889899365	1.38601932718285	0.0772871212061141	0.414077441195035
t__SGB6321	5	17	0.0159986044819626	0.128214982995578	0.355124988431334	0.101907032090314	1.00964532610322	0.0496833245570897	0.264305474954265	2.44468433453558	1.33348969817258	0.0667582290043147	0.387521611833726
t__SGB4032	5	4	0.00702719852248051	0.000304600054850007	1.53234190835069	0.328396847206919	7.75559389947646	0.739166178720892	0.991813442125047	-2.4414810115041	1.42597516585222	0.0868693350691292	0.436667058252334
